id,preco
313,9.755.015.283.159.740
314,10.708.762.231.362.060
315,18.765.172.145.717.756
316,5.498.090.377.219.858
317,8.970.983.349.397.909
318,7.581.421.382.236.244
319,12.141.832.562.106.488
320,7.044.598.528.449.849
321,7.859.851.169.383.502
322,2.846.861.289.820.926
323,12.236.613.153.087.698
324,7.672.797.876.848.123
325,11.118.896.036.748.522
326,18.304.406.404.689.408
327,7.623.547.799.836.503
328,10.261.049.634.665.948
329,6.891.470.319.230.260
330,7.197.844.003.653.060
331,9.413.809.170.322.900
332,8.412.196.918.727.097
333,8.462.373.851.168.568
334,13.275.882.280.201.538
335,9.923.240.902.618.608
336,9.171.515.532.362.960
337,12.593.608.011.110.810
338,9.600.635.531.714.984
339,7.159.932.860.037.012
340,7.939.922.738.103.450
341,9.019.622.559.222.544
342,14.148.344.559.790.912
343,9.070.067.005.729.704
344,10.783.006.958.798.166
345,8.026.183.394.193.852
346,10.659.769.385.952.584
347,8.949.863.667.876.466
348,8.333.063.065.494.283
349,7.031.600.798.536.151
350,6.439.713.316.583.969
351,11.971.667.152.420.056
352,8.675.430.722.531.384
353,13.738.822.453.134.680
354,7.666.947.284.419.888
355,13.603.522.163.866.244
356,9.934.124.460.962.466
357,10.134.621.742.876.026
358,9.032.000.401.273.536
359,11.403.489.224.379.258
360,7.867.217.218.802.606
361,11.827.838.075.557.646
362,5.842.271.477.464.961
363,10.541.891.201.226.738
364,9.984.157.342.940.318
365,15.898.869.408.747.598
366,6.341.419.902.640.278
367,8.757.729.532.223.711
368,8.637.651.472.355.577
369,7.551.778.449.305.875
370,12.827.893.867.381.664
371,14.080.812.170.644.970
372,11.114.092.201.534.540
373,14.579.031.071.608.264
374,9.076.697.704.732.216
375,8.662.201.928.252.118
376,10.000.401.877.576.766
377,8.807.976.848.620.779
378,13.714.030.585.243.812
379,8.733.911.592.796.571
380,6.666.950.652.062.299
381,6.610.855.295.103.165
382,8.568.379.999.208.386
383,18.468.158.645.596.032
384,10.220.193.109.219.938
385,9.581.089.410.341.676
386,8.922.432.473.747.694
387,6.264.678.409.126.192
388,12.339.366.510.897.112
389,9.087.197.464.529.478
390,7.754.696.253.917.785
391,12.400.412.134.080.876
392,3.939.373.313.521.831
393,13.386.507.047.015.216
394,15.337.915.253.034.526
395,9.801.686.438.022.080
396,11.478.823.930.815.294
397,11.835.597.452.238.910
398,8.867.694.898.632.315
399,9.221.724.127.104.544
400,12.981.718.994.673.264
401,12.097.020.033.965.420
402,11.379.826.399.226.278
403,7.898.919.695.763.121
404,17.560.270.766.190.220
405,7.731.706.331.820.613
406,7.016.181.257.232.463
407,7.828.750.842.756.339
408,9.556.627.702.457.710
409,14.230.046.555.200.458
410,12.106.375.225.405.582
411,12.874.216.414.954.000
412,9.331.614.532.128.928
413,11.123.432.843.625.090
414,10.661.669.584.321.714
415,11.970.806.724.510.412
416,10.684.139.154.287.694
417,9.236.492.727.617.810
418,6.427.826.950.420.345
419,7.174.847.031.626.364
420,8.293.293.689.685.118
421,7.660.071.506.486.069
422,14.899.792.153.504.690
423,7.556.469.131.601.919
424,11.828.297.273.078.252
425,10.785.806.515.380.208
426,10.222.945.982.069.722
427,9.631.246.871.542.682
428,9.150.492.700.372.322
429,6.593.086.514.400.040
430,9.884.976.957.301.334
431,5.552.587.264.237.747
432,11.836.981.014.929.228
433,12.671.238.671.083.220
434,12.854.952.215.468.860
435,9.807.020.899.639.194
436,11.270.149.553.229.220
437,8.412.995.485.621.360
438,11.429.659.092.644.858
439,9.746.297.233.472.176
440,6.627.857.717.040.186
441,11.439.097.893.172.716
442,8.986.245.321.067.693
443,8.237.427.708.185.667
444,13.645.844.792.986.304
445,12.763.477.974.338.082
446,8.089.336.213.769.834
447,10.187.726.971.918.284
448,10.270.366.791.251.536
449,8.726.119.496.248.673
450,7.556.247.989.560.646
451,9.742.952.217.841.354
452,10.177.910.897.189.930
453,9.126.544.330.861.196
454,7.983.533.196.023.433
455,11.176.936.887.382.226
456,8.839.971.052.478.633
457,8.983.812.793.763.532
458,10.695.772.887.804.652
459,9.741.599.764.665.498
460,9.451.139.543.587.636
461,11.785.721.766.664.016
462,9.514.508.814.109.472
463,11.787.378.153.411.260
464,9.685.605.041.618.922
465,8.349.779.280.994.937
466,10.151.400.677.967.308
467,7.044.121.539.008.839
468,11.193.516.139.338.866
469,15.528.378.818.898.492
470,6.287.074.796.884.605
471,12.476.100.321.000.536
472,11.410.705.139.172.634
473,9.416.699.325.754.756
474,8.087.671.062.141.615
475,9.411.254.662.158.824
476,11.253.981.583.683.816
477,7.615.204.546.573.006
478,10.419.208.704.500.858
479,7.993.298.516.943.808
480,7.457.685.813.031.354
481,10.223.397.011.804.806
482,9.991.244.215.501.490
483,9.510.773.592.575.676
484,7.562.051.775.488.559
485,8.051.953.036.435.682
486,7.894.551.330.565.171
487,11.022.862.592.369.496
488,8.067.718.469.452.807
489,10.826.503.810.409.188
490,14.403.371.779.947.390
491,8.767.390.763.156.411
492,13.038.269.896.450.510
493,7.908.126.159.265.555
494,9.916.434.225.110.932
495,8.627.464.141.294.631
496,8.330.363.143.989.049
497,10.196.846.144.247.190
498,7.653.678.909.174.730
499,10.845.395.326.336.524
500,7.580.382.438.577.037
501,10.889.903.034.192.498
502,4.743.289.344.546.832
503,8.057.645.672.965.049
504,12.065.911.183.687.626
505,12.894.261.604.944.574
506,12.002.293.079.625.478
507,11.823.924.557.612.298
508,11.059.593.674.928.252
509,10.332.479.989.930.996
510,11.637.859.755.792.546
511,8.826.755.125.223.124
512,8.345.140.031.620.093
513,12.229.353.880.927.214
514,6.945.785.946.943.881
515,9.750.268.814.006.284
516,8.230.393.176.412.386
517,6.673.100.351.445.486
518,6.674.280.446.251.062
519,6.780.550.503.013.454
520,9.259.519.547.409.670
521,9.028.931.184.058.974
522,9.918.426.817.511.722
523,12.647.427.297.848.496
524,14.257.720.322.544.442
525,9.497.329.051.193.932
526,10.145.510.593.504.862
527,8.459.040.044.492.793
528,7.681.879.709.337.676
529,8.746.384.810.648.296
530,9.985.650.034.700.840
531,9.360.619.760.828.790
532,8.689.849.970.413.832
533,9.809.834.946.069.888
534,9.704.881.559.905.802
535,7.262.948.599.172.906
536,8.694.199.736.936.214
537,15.984.140.129.049.612
538,12.031.180.958.783.768
539,9.750.410.395.169.556
540,9.905.950.926.282.594
541,10.533.990.720.610.658
542,25.545.605.994.525.064
543,9.095.488.622.067.420
544,8.061.041.540.077.368
545,7.369.932.023.720.519
546,11.957.661.443.326.280
547,8.369.539.070.431.541
548,8.110.416.343.880.208
549,11.002.520.659.595.708
550,9.818.204.786.438.376
551,10.324.851.746.861.276
552,10.358.065.433.583.926
553,13.094.569.968.634.106
554,11.602.836.401.488.568
555,10.961.336.823.426.324
556,9.725.446.767.782.904
557,12.549.908.709.496.170
558,9.903.666.436.019.698
559,7.915.357.566.649.129
560,12.247.589.728.693.666
561,3.727.930.681.463.301
562,10.861.144.249.321.148
563,9.181.529.104.079.192
564,10.352.349.283.094.126
565,10.916.859.799.227.924
566,11.495.632.385.586.356
567,11.771.660.530.183.278
568,15.673.109.625.807.758
569,11.530.150.436.521.794
570,14.218.753.881.099.988
571,8.449.574.618.092.470
572,8.927.279.246.938.606
573,22.639.837.025.847.960
574,8.346.604.826.980.452
575,15.786.225.911.928.918
576,13.278.297.856.377.238
577,11.685.128.198.807.556
578,13.815.554.785.699.278
579,9.193.569.062.092.562
580,8.315.027.281.223.418
581,8.439.116.135.835.575
582,12.510.708.013.323.236
583,9.712.451.847.850.748
584,8.083.588.439.717.332
585,10.210.712.451.688.548
586,11.751.851.912.430.150
587,8.680.223.222.258.749
588,11.109.003.976.234.784
589,8.728.125.502.897.614
590,7.890.977.196.418.571
591,7.052.184.037.979.519
592,7.937.273.576.034.743
593,9.293.176.101.165.122
594,8.710.745.760.904.461
595,10.983.009.978.910.972
596,11.180.841.330.438.346
597,10.055.361.643.190.844
598,9.835.017.250.566.486
599,8.593.495.428.351.776
600,8.175.445.433.722.828
601,9.415.843.778.686.204
602,11.552.130.085.905.550
603,8.080.638.140.368.789
604,13.674.902.493.550.548
605,12.677.867.590.580.950
606,11.568.813.618.434.252
607,5.519.410.586.059.260
608,10.836.037.761.132.202
609,15.459.110.741.921.270
610,7.643.180.383.528.022
611,12.386.924.925.367.716
612,6.767.351.112.662.043
613,10.334.706.329.644.526
614,7.820.063.241.997.522
615,9.110.518.196.410.400
616,9.404.977.408.379.710
617,11.484.586.198.775.002
618,9.393.358.137.185.724
619,13.496.062.091.665.222
620,9.742.954.253.830.936
621,14.613.986.484.168.008
622,12.464.397.614.607.068
623,10.233.276.923.508.264
624,12.591.080.264.551.740
625,6.794.857.729.880.380
626,13.783.945.254.010.332
627,14.890.501.217.016.640
628,10.149.061.709.938.012
629,9.676.674.401.967.720
630,12.129.825.491.871.538
631,11.282.488.154.767.118
632,8.611.752.767.725.943
633,10.715.659.889.972.136
634,7.578.863.796.362.850
635,12.866.643.378.343.652
636,9.401.930.704.115.976
637,12.593.207.119.597.872
638,7.883.626.643.318.310
639,11.031.918.069.408.924
640,10.616.161.615.697.104
641,8.607.614.468.543.568
642,8.631.402.156.115.985
643,9.914.129.146.379.208
644,10.181.831.620.878.702
645,8.853.723.194.325.055
646,9.557.520.223.358.730
647,17.055.324.364.113.520
648,13.668.446.177.914.080
649,9.278.385.790.546.506
650,7.792.493.982.344.184
651,12.110.024.831.666.844
652,9.182.586.578.380.958
653,10.213.643.671.630.804
654,10.724.890.587.883.014
655,8.663.522.464.932.041
656,8.068.136.662.528.990
657,6.321.092.536.606.847
658,5.534.105.683.355.844
659,9.669.982.197.530.418
660,9.781.024.714.897.602
661,6.113.066.220.855.885
662,9.975.819.566.302.774
663,12.896.614.180.708.970
664,9.236.044.762.417.492
665,8.685.849.135.821.489
666,11.466.074.534.515.104
667,13.275.470.332.713.490
668,5.174.186.885.977.797
669,6.628.141.767.030.288
670,7.865.130.377.468.133
671,11.007.194.052.945.316
672,8.783.629.283.971.912
673,10.887.045.133.274.390
674,7.299.986.174.867.597
675,8.395.751.043.720.444
676,8.363.078.232.774.092
677,10.589.696.954.275.168
678,8.301.611.970.302.668
679,11.685.741.674.711.052
680,11.605.857.668.399.546
681,9.736.434.186.756.028
682,8.839.510.629.267.999
683,12.364.236.137.882.598
684,11.942.535.917.177.758
685,8.699.547.197.764.808
686,9.790.373.847.534.032
687,10.332.529.298.877.106
688,9.256.834.834.742.942
689,11.150.096.152.732.038
690,9.327.899.869.142.578
691,10.183.241.942.029.794
692,7.773.848.051.629.497
693,6.597.712.826.155.298
694,11.796.238.482.480.050
695,9.885.375.989.278.166
696,12.517.666.893.279.564
697,12.425.371.369.110.312
698,14.142.133.472.129.096
699,12.075.507.293.002.858
700,6.774.822.199.096.409
701,9.187.264.338.654.960
702,10.439.947.626.222.048
703,7.296.351.438.755.858
704,10.022.329.607.535.058
705,9.265.635.544.232.584
706,8.751.398.499.439.796
707,8.473.300.630.251.173
708,8.853.317.486.420.213
709,16.869.705.179.620.436
710,10.155.259.576.026.650
711,10.975.138.671.925.532
712,15.688.882.507.584.548
713,7.719.347.672.469.905
714,11.431.616.812.964.618
715,7.523.881.097.031.831
716,13.471.636.164.728.968
717,10.316.744.186.739.228
718,9.990.181.967.825.532
719,8.279.774.919.267.589
720,7.908.708.395.488.023
721,11.945.431.543.290.996
722,8.265.342.699.776.035
723,7.635.952.853.615.234
724,7.625.691.329.007.284
725,5.935.608.255.343.733
726,11.361.639.756.567.662
727,16.348.774.084.918.108
728,7.857.503.515.055.742
729,7.026.136.513.007.489
730,13.565.207.352.530.002
731,15.676.694.652.524.176
732,9.332.228.434.556.918
733,12.068.539.903.519.498
734,7.014.164.625.880.486
735,12.994.193.653.289.324
736,9.963.500.055.416.964
737,6.838.261.281.527.263
738,9.970.155.716.481.890
739,12.843.503.213.878.818
740,3.528.355.726.278.299
741,13.629.779.678.889.596
742,4.842.771.978.964.790
743,9.406.144.978.641.726
744,6.395.723.631.502.410
745,9.803.435.693.860.310
746,6.904.930.020.864.724
747,10.560.039.972.276.968
748,8.395.700.820.599.962
749,20.991.091.080.942.976
750,8.739.628.830.592.834
751,13.558.566.655.740.460
752,10.209.403.016.159.252
753,7.748.818.403.919.510
754,12.695.331.205.852.658
755,8.157.632.109.832.936
756,11.512.241.031.538.550
757,14.065.554.576.310.032
758,11.086.733.066.882.368
759,9.625.876.485.579.758
760,13.906.780.503.476.532
761,10.118.127.949.923.464
762,11.212.120.934.414.872
763,8.888.884.523.696.278
764,9.056.670.287.634.504
765,6.079.126.870.361.962
766,4.664.779.785.138.889
767,13.195.999.771.203.474
768,10.349.579.354.051.320
769,11.627.988.722.088.214
770,6.608.923.421.933.299
771,9.574.250.391.558.290
772,9.823.275.523.087.078
773,10.470.239.737.515.650
774,17.851.270.499.280.380
775,9.048.221.355.010.616
776,13.666.461.039.689.914
777,8.765.125.842.194.601
778,9.999.821.635.648.738
779,13.657.794.683.897.540
780,14.124.707.314.030.628
781,12.166.031.355.122.488
782,12.509.346.547.249.982
783,10.903.837.814.518.272
784,8.519.030.127.259.344
785,6.825.865.695.024.558
786,9.614.922.380.616.760
787,6.475.079.930.748.197
788,8.402.985.106.876.284
789,8.401.263.798.450.895
790,15.279.240.774.650.548
791,14.099.480.645.325.638
792,8.055.513.476.632.181
793,13.885.654.723.033.994
794,8.485.770.052.395.790
795,2.507.006.977.846.659
796,18.631.690.182.978.152
797,6.642.769.425.358.731
798,7.277.715.165.095.887
799,7.658.328.844.945.722
800,8.934.517.842.302.918
801,6.040.732.967.741.006
802,8.398.946.377.096.033
803,7.423.896.033.680.123
804,4.827.192.624.834.533
805,14.931.604.343.806.988
806,7.765.156.594.760.834
807,8.774.709.602.412.498
808,12.119.995.632.728.266
809,8.539.157.121.511.563
810,6.501.133.979.483.084
811,12.338.598.471.176.550
812,8.511.045.411.814.374
813,11.725.125.779.503.616
814,11.926.024.675.165.434
815,6.920.694.647.778.670
816,11.602.052.992.306.370
817,10.235.846.918.905.174
818,10.901.299.378.731.086
819,8.441.449.683.317.683
820,6.646.845.246.788.602
821,5.692.908.260.603.624
822,10.287.746.155.354.044
823,9.596.301.816.204.734
824,13.136.160.630.967.350
825,13.775.321.129.664.984
826,12.543.243.943.354.432
827,8.121.781.791.282.784
828,11.059.530.242.873.958
829,11.093.842.480.911.228
830,13.230.622.598.326.918
831,9.075.531.278.275.666
832,14.648.714.355.980.426
833,10.428.248.618.426.134
834,7.770.234.250.755.379
835,11.530.866.668.998.164
836,11.279.239.527.165.788
837,9.502.510.079.993.938
838,7.154.182.235.264.700
839,11.086.999.429.536.940
840,9.025.441.965.249.432
841,15.605.571.714.748.854
842,10.223.383.362.621.052
843,9.427.637.728.763.066
844,7.540.641.357.064.816
845,8.860.687.090.700.072
846,8.311.360.035.314.363
847,7.914.896.275.283.808
848,11.181.409.133.374.642
849,8.748.762.000.633.813
850,8.588.438.767.908.096
851,8.071.999.472.934.030
852,8.404.311.158.473.555
853,11.852.125.812.441.864
854,14.372.703.364.299.522
855,12.921.113.635.531.420
856,9.589.989.617.526.120
857,9.568.278.333.737.476
858,3.984.704.920.645.988
859,10.606.624.137.602.756
860,7.771.709.520.438.170
861,7.025.441.936.401.812
862,10.746.279.234.851.730
863,9.711.353.622.447.104
864,12.942.819.110.011.706
865,13.703.820.535.904.466
866,11.517.621.528.308.150
867,8.792.026.579.899.426
868,13.276.455.831.446.834
869,14.693.832.177.970.594
870,9.105.238.633.050.110
871,12.233.031.388.164.538
872,8.619.814.640.674.565
873,10.069.665.482.250.136
874,13.787.426.222.072.798
875,8.732.479.983.107.482
876,7.274.223.827.349.669
877,7.420.333.687.458.843
878,9.645.864.792.953.432
879,9.341.628.085.919.202
880,7.244.033.318.609.162
881,12.618.789.472.267.560
882,9.930.152.305.096.326
883,10.712.558.919.177.364
884,11.325.622.915.182.136
885,15.310.873.733.731.540
886,12.629.219.167.531.488
887,12.181.569.295.937.128
888,8.801.674.078.118.035
889,6.235.255.154.438.641
890,12.339.719.830.660.528
891,6.740.967.359.545.542
892,9.693.367.203.261.436
893,9.588.834.112.607.904
894,18.626.526.913.253.932
895,9.727.644.316.243.396
896,8.040.594.315.379.011
897,11.025.578.837.678.486
898,14.389.707.575.643.422
899,11.118.953.391.518.926
900,15.373.154.001.875.282
901,8.873.554.887.254.962
902,5.051.292.016.951.974
903,7.902.035.259.368.819
904,11.146.893.753.747.690
905,7.219.727.907.759.563
906,12.250.941.543.106.466
907,6.281.781.514.105.187
908,11.745.945.272.400.200
909,20.804.967.091.926.552
910,8.763.405.587.283.585
911,10.833.662.430.054.828
912,11.154.493.132.731.798
913,13.686.113.962.101.084
914,11.930.597.570.738.264
915,8.893.165.594.165.352
916,6.895.265.229.500.125
917,10.473.386.556.194.296
918,8.532.556.992.618.255
919,8.900.385.902.292.398
920,9.401.000.038.156.658
921,12.063.660.961.014.838
922,8.531.953.175.945.071
923,10.460.636.308.940.898
924,7.134.831.068.857.708
925,6.989.564.325.952.262
926,12.023.455.068.163.368
927,9.444.522.908.459.004
928,6.742.869.222.949.671
929,10.614.966.861.399.894
930,10.284.864.401.396.202
931,13.278.434.322.858.654
932,11.805.723.376.139.878
933,9.753.541.155.255.120
934,7.434.819.674.941.285
935,10.878.881.739.326.572
936,7.428.068.370.629.472
937,7.704.429.963.046.886
938,9.234.290.148.398.222
939,11.799.464.001.690.480
940,6.385.638.469.253.384
941,11.380.088.844.168.752
942,10.388.482.765.092.692
943,10.003.976.070.814.830
944,9.085.203.951.891.844
945,14.357.737.066.624.132
946,11.119.207.702.985.050
947,10.742.524.432.324.878
948,10.009.015.461.377.636
949,11.351.683.842.747.300
950,5.085.497.354.262.514
951,9.878.542.278.923.874
952,6.741.762.479.746.558
953,7.065.670.279.314.832
954,8.507.928.536.771.649
955,7.639.308.759.097.982
956,8.735.045.844.873.577
957,20.330.319.291.157.068
958,16.592.768.940.961.066
959,11.967.381.799.560.880
960,8.915.691.454.684.603
961,23.519.217.768.743.392
962,5.984.991.158.856.455
963,9.103.015.326.767.922
964,9.057.437.612.216.348
965,10.053.309.024.639.738
966,11.255.839.014.351.894
967,8.415.788.815.770.935
968,7.732.333.058.563.452
969,8.390.060.534.818.430
970,10.287.472.477.114.586
971,13.637.026.831.111.194
972,8.940.174.913.066.103
973,12.106.258.851.052.766
974,10.633.737.294.977.626
975,11.385.529.191.006.036
976,7.577.847.795.078.598
977,13.854.031.785.030.792
978,8.225.308.962.485.784
979,11.203.410.989.780.524
980,8.056.955.547.513.564
981,9.531.881.795.867.726
982,8.388.151.297.764.800
983,11.273.100.122.232.196
984,14.467.687.588.421.838
985,12.399.460.740.705.698
986,10.438.604.088.243.532
987,18.814.093.363.735.008
988,22.161.260.784.813.904
989,8.961.077.519.430.153
990,8.712.480.456.558.649
991,7.950.187.608.157.757
992,9.892.667.407.353.926
993,9.414.274.502.333.362
994,8.378.504.454.637.989
995,8.838.372.484.804.364
996,6.411.747.343.483.578
997,9.600.898.856.902.566
998,8.410.344.291.182.284
